"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2016Q2";"00310 Kivihaka   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00320 Etelä-Haaga   (Helsinki )";"Yksiöt";388;23.90
"2016Q2";"00320 Etelä-Haaga   (Helsinki )";"Kaksiot";174;15.58
"2016Q2";"00320 Etelä-Haaga   (Helsinki )";"Kolmiot+";24;13.25
"2016Q2";"00330 Munkkiniemi   (Helsinki )";"Yksiöt";130;24.45
"2016Q2";"00330 Munkkiniemi   (Helsinki )";"Kaksiot";105;15.24
"2016Q2";"00330 Munkkiniemi   (Helsinki )";"Kolmiot+";40;16.10
"2016Q2";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Yksiöt";282;25.69
"2016Q2";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kaksiot";163;17.82
"2016Q2";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00360 Pajamäki   (Helsinki )";"Yksiöt";47;24.16
"2016Q2";"00360 Pajamäki   (Helsinki )";"Kaksiot";31;16.09
"2016Q2";"00360 Pajamäki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00370 Reimarla   (Helsinki )";"Yksiöt";50;22.13
"2016Q2";"00370 Reimarla   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00370 Reimarla   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kaksiot";25;16.95
"2016Q2";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00390 Konala   (Helsinki )";"Yksiöt";87;21.08
"2016Q2";"00390 Konala   (Helsinki )";"Kaksiot";123;17.48
"2016Q2";"00390 Konala   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00400 Pohjois-Haaga   (Helsinki )";"Yksiöt";214;26.52
"2016Q2";"00400 Pohjois-Haaga   (Helsinki )";"Kaksiot";170;16.73
"2016Q2";"00400 Pohjois-Haaga   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00410 Malminkartano   (Helsinki )";"Yksiöt";22;18.41
"2016Q2";"00410 Malminkartano   (Helsinki )";"Kaksiot";25;14.46
"2016Q2";"00410 Malminkartano   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00420 Kannelmäki   (Helsinki )";"Yksiöt";253;21.22
"2016Q2";"00420 Kannelmäki   (Helsinki )";"Kaksiot";259;15.52
"2016Q2";"00420 Kannelmäki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00430 Maununneva   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00430 Maununneva   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00430 Maununneva   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00440 Lassila   (Helsinki )";"Yksiöt";69;21.70
"2016Q2";"00440 Lassila   (Helsinki )";"Kaksiot";71;16.73
"2016Q2";"00440 Lassila   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00500 Sörnäinen   (Helsinki )";"Yksiöt";938;24.66
"2016Q2";"00500 Sörnäinen   (Helsinki )";"Kaksiot";341;18.41
"2016Q2";"00500 Sörnäinen   (Helsinki )";"Kolmiot+";62;17.28
"2016Q2";"00510 Etu-Vallila - Alppila   (Helsinki )";"Yksiöt";571;23.84
"2016Q2";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kaksiot";238;17.37
"2016Q2";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kolmiot+";26;14.70
"2016Q2";"00520 Itä-Pasila   (Helsinki )";"Yksiöt";136;23.23
"2016Q2";"00520 Itä-Pasila   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00520 Itä-Pasila   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00530 Kallio   (Helsinki )";"Yksiöt";865;23.66
"2016Q2";"00530 Kallio   (Helsinki )";"Kaksiot";410;16.66
"2016Q2";"00530 Kallio   (Helsinki )";"Kolmiot+";105;16.09
"2016Q2";"00550 Vallila   (Helsinki )";"Yksiöt";242;21.83
"2016Q2";"00550 Vallila   (Helsinki )";"Kaksiot";155;15.53
"2016Q2";"00550 Vallila   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Yksiöt";70;23.14
"2016Q2";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kaksiot";143;19.89
"2016Q2";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kolmiot+";42;19.35
"2016Q2";"00570 Kulosaari   (Helsinki )";"Yksiöt";79;22.73
"2016Q2";"00570 Kulosaari   (Helsinki )";"Kaksiot";48;17.57
"2016Q2";"00570 Kulosaari   (Helsinki )";"Kolmiot+";24;14.10
"2016Q2";"00580 Verkkosaari   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00580 Verkkosaari   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00580 Verkkosaari   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00600 Koskela-Helsinki   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00600 Koskela-Helsinki   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00600 Koskela-Helsinki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00610 Käpylä   (Helsinki )";"Yksiöt";60;20.80
"2016Q2";"00610 Käpylä   (Helsinki )";"Kaksiot";74;15.28
"2016Q2";"00610 Käpylä   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kaksiot";32;12.99
"2016Q2";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00630 Maunula-Suursuo   (Helsinki )";"Yksiöt";84;22.19
"2016Q2";"00630 Maunula-Suursuo   (Helsinki )";"Kaksiot";71;17.23
"2016Q2";"00630 Maunula-Suursuo   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00640 Oulunkylä-Patola   (Helsinki )";"Yksiöt";103;21.34
"2016Q2";"00640 Oulunkylä-Patola   (Helsinki )";"Kaksiot";112;15.15
"2016Q2";"00640 Oulunkylä-Patola   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00650 Veräjämäki   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00650 Veräjämäki   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00650 Veräjämäki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00700 Malmi   (Helsinki )";"Yksiöt";87;20.91
"2016Q2";"00700 Malmi   (Helsinki )";"Kaksiot";118;16.85
"2016Q2";"00700 Malmi   (Helsinki )";"Kolmiot+";42;15.32
"2016Q2";"00710 Pihlajamäki   (Helsinki )";"Yksiöt";139;18.36
"2016Q2";"00710 Pihlajamäki   (Helsinki )";"Kaksiot";132;14.38
"2016Q2";"00710 Pihlajamäki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00720 Pukinmäki-Savela   (Helsinki )";"Yksiöt";77;19.58
"2016Q2";"00720 Pukinmäki-Savela   (Helsinki )";"Kaksiot";54;14.15
"2016Q2";"00720 Pukinmäki-Savela   (Helsinki )";"Kolmiot+";33;15.97
"2016Q2";"00730 Tapanila   (Helsinki )";"Yksiöt";42;19.27
"2016Q2";"00730 Tapanila   (Helsinki )";"Kaksiot";58;16.15
"2016Q2";"00730 Tapanila   (Helsinki )";"Kolmiot+";21;13.76
"2016Q2";"00740 Siltamäki   (Helsinki )";"Yksiöt";28;18.07
"2016Q2";"00740 Siltamäki   (Helsinki )";"Kaksiot";49;15.82
"2016Q2";"00740 Siltamäki   (Helsinki )";"Kolmiot+";32;14.25
"2016Q2";"00750 Puistola   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00750 Puistola   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00750 Puistola   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00760 Suurmetsä   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00760 Suurmetsä   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00760 Suurmetsä   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00770 Jakomäki - Alppikylä   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00780 Tapaninvainio   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00780 Tapaninvainio   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00780 Tapaninvainio   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00790 Viikki   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00790 Viikki   (Helsinki )";"Kaksiot";36;14.81
"2016Q2";"00790 Viikki   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00800 Länsi-Herttoniemi   (Helsinki )";"Yksiöt";81;22.78
"2016Q2";"00800 Länsi-Herttoniemi   (Helsinki )";"Kaksiot";45;15.13
"2016Q2";"00800 Länsi-Herttoniemi   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00810 Herttoniemi   (Helsinki )";"Yksiöt";61;20.84
"2016Q2";"00810 Herttoniemi   (Helsinki )";"Kaksiot";104;17.41
"2016Q2";"00810 Herttoniemi   (Helsinki )";"Kolmiot+";87;17.48
"2016Q2";"00820 Roihuvuori   (Helsinki )";"Yksiöt";127;23.01
"2016Q2";"00820 Roihuvuori   (Helsinki )";"Kaksiot";133;16.35
"2016Q2";"00820 Roihuvuori   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00840 Laajasalo   (Helsinki )";"Yksiöt";120;22.00
"2016Q2";"00840 Laajasalo   (Helsinki )";"Kaksiot";70;15.21
"2016Q2";"00840 Laajasalo   (Helsinki )";"Kolmiot+";21;13.81
"2016Q2";"00870 Etelä-Laajasalo   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00870 Etelä-Laajasalo   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00870 Etelä-Laajasalo   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00900 Puotinharju   (Helsinki )";"Yksiöt";98;21.21
"2016Q2";"00900 Puotinharju   (Helsinki )";"Kaksiot";68;15.97
"2016Q2";"00900 Puotinharju   (Helsinki )";"Kolmiot+";58;16.05
"2016Q2";"00910 Puotila   (Helsinki )";"Yksiöt";139;21.28
"2016Q2";"00910 Puotila   (Helsinki )";"Kaksiot";153;17.05
"2016Q2";"00910 Puotila   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00920 Myllypuro   (Helsinki )";"Yksiöt";47;20.68
"2016Q2";"00920 Myllypuro   (Helsinki )";"Kaksiot";111;15.43
"2016Q2";"00920 Myllypuro   (Helsinki )";"Kolmiot+";44;14.97
"2016Q2";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Yksiöt";77;22.86
"2016Q2";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kaksiot";.;.
"2016Q2";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00940 Kontula - Vesala   (Helsinki )";"Yksiöt";236;21.19
"2016Q2";"00940 Kontula - Vesala   (Helsinki )";"Kaksiot";311;15.89
"2016Q2";"00940 Kontula - Vesala   (Helsinki )";"Kolmiot+";320;15.07
"2016Q2";"00950 Vartioharju   (Helsinki )";"Yksiöt";.;.
"2016Q2";"00950 Vartioharju   (Helsinki )";"Kaksiot";35;17.16
"2016Q2";"00950 Vartioharju   (Helsinki )";"Kolmiot+";.;.
"2016Q2";"00960 Pohjois-Vuosaari   (Helsinki )";"Yksiöt";99;20.10
"2016Q2";"00960 Pohjois-Vuosaari   (Helsinki )";"Kaksiot";117;15.14
"2016Q2";"00960 Pohjois-Vuosaari   (Helsinki )";"Kolmiot+";25;13.15
"2016Q2";"00970 Mellunmäki   (Helsinki )";"Yksiöt";72;19.09
"2016Q2";"00970 Mellunmäki   (Helsinki )";"Kaksiot";90;14.70
"2016Q2";"00970 Mellunmäki   (Helsinki )";"Kolmiot+";39;13.59
"2016Q2";"00980 Etelä-Vuosaari   (Helsinki )";"Yksiöt";65;19.78
"2016Q2";"00980 Etelä-Vuosaari   (Helsinki )";"Kaksiot";232;18.47
"2016Q2";"00980 Etelä-Vuosaari   (Helsinki )";"Kolmiot+";96;15.94
"2016Q2";"00990 Aurinkolahti   (Helsinki )";"Yksiöt";45;23.58
"2016Q2";"00990 Aurinkolahti   (Helsinki )";"Kaksiot";131;19.60
"2016Q2";"00990 Aurinkolahti   (Helsinki )";"Kolmiot+";49;18.03
"2016Q2";"01150 Söderkulla   (Sipoo )";"Yksiöt";.;.
"2016Q2";"01150 Söderkulla   (Sipoo )";"Kaksiot";.;.
"2016Q2";"01150 Söderkulla   (Sipoo )";"Kolmiot+";.;.
"2016Q2";"01200 Hakunila   (Vantaa )";"Yksiöt";86;18.36
"2016Q2";"01200 Hakunila   (Vantaa )";"Kaksiot";161;14.66
"2016Q2";"01200 Hakunila   (Vantaa )";"Kolmiot+";140;13.68
"2016Q2";"01230 Vaarala   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01230 Vaarala   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01230 Vaarala   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01280 Länsimäki   (Vantaa )";"Yksiöt";100;18.79
"2016Q2";"01280 Länsimäki   (Vantaa )";"Kaksiot";154;15.00
"2016Q2";"01280 Länsimäki   (Vantaa )";"Kolmiot+";104;13.67
"2016Q2";"01300 Tikkurila   (Vantaa )";"Yksiöt";204;19.84
"2016Q2";"01300 Tikkurila   (Vantaa )";"Kaksiot";365;16.27
"2016Q2";"01300 Tikkurila   (Vantaa )";"Kolmiot+";119;15.81
"2016Q2";"01340 Leinelä   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01340 Leinelä   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01340 Leinelä   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01350 Hiekkaharju   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01350 Hiekkaharju   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01350 Hiekkaharju   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01360 Koivukylä-Havukoski   (Vantaa )";"Yksiöt";169;18.74
"2016Q2";"01360 Koivukylä-Havukoski   (Vantaa )";"Kaksiot";394;14.40
"2016Q2";"01360 Koivukylä-Havukoski   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01400 Rekola   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01400 Rekola   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01400 Rekola   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01450 Korso   (Vantaa )";"Yksiöt";137;17.28
"2016Q2";"01450 Korso   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01450 Korso   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01480 Mikkola   (Vantaa )";"Yksiöt";69;18.42
"2016Q2";"01480 Mikkola   (Vantaa )";"Kaksiot";46;14.48
"2016Q2";"01480 Mikkola   (Vantaa )";"Kolmiot+";59;12.83
"2016Q2";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01520 Tammisto   (Vantaa )";"Yksiöt";20;20.41
"2016Q2";"01520 Tammisto   (Vantaa )";"Kaksiot";48;18.19
"2016Q2";"01520 Tammisto   (Vantaa )";"Kolmiot+";33;16.34
"2016Q2";"01600 Myyrmäki   (Vantaa )";"Yksiöt";265;19.74
"2016Q2";"01600 Myyrmäki   (Vantaa )";"Kaksiot";340;16.66
"2016Q2";"01600 Myyrmäki   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01610 Kaivoksela   (Vantaa )";"Yksiöt";69;20.78
"2016Q2";"01610 Kaivoksela   (Vantaa )";"Kaksiot";180;17.59
"2016Q2";"01610 Kaivoksela   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01620 Martinlaakso   (Vantaa )";"Yksiöt";180;20.17
"2016Q2";"01620 Martinlaakso   (Vantaa )";"Kaksiot";347;15.71
"2016Q2";"01620 Martinlaakso   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01640 Hämevaara   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01640 Hämevaara   (Vantaa )";"Kaksiot";.;.
"2016Q2";"01640 Hämevaara   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01650 Vapaala   (Vantaa )";"Yksiöt";41;19.47
"2016Q2";"01650 Vapaala   (Vantaa )";"Kaksiot";27;13.27
"2016Q2";"01650 Vapaala   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01700 Kivistö   (Vantaa )";"Yksiöt";.;.
"2016Q2";"01700 Kivistö   (Vantaa )";"Kaksiot";30;13.37
"2016Q2";"01700 Kivistö   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01710 Pähkinärinne   (Vantaa )";"Yksiöt";51;19.07
"2016Q2";"01710 Pähkinärinne   (Vantaa )";"Kaksiot";67;15.08
"2016Q2";"01710 Pähkinärinne   (Vantaa )";"Kolmiot+";.;.
"2016Q2";"01800 Klaukkala Keskus   (Nurmijärvi )";"Yksiöt";28;16.93
"2016Q2";"01800 Klaukkala Keskus   (Nurmijärvi )";"Kaksiot";26;12.90
"2016Q2";"01800 Klaukkala Keskus   (Nurmijärvi )";"Kolmiot+";.;.
"2016Q2";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Yksiöt";29;15.11
"2016Q2";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Kaksiot";65;12.35
"2016Q2";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Kolmiot+";.;.
"2016Q2";"02100 Tapiola   (Espoo )";"Yksiöt";173;23.40
"2016Q2";"02100 Tapiola   (Espoo )";"Kaksiot";.;.
"2016Q2";"02100 Tapiola   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02110 Otsolahti   (Espoo )";"Yksiöt";33;21.78
"2016Q2";"02110 Otsolahti   (Espoo )";"Kaksiot";45;17.20
"2016Q2";"02110 Otsolahti   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Yksiöt";68;23.02
"2016Q2";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Kaksiot";51;14.97
"2016Q2";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02130 Pohjois-Tapiola   (Espoo )";"Yksiöt";.;.
"2016Q2";"02130 Pohjois-Tapiola   (Espoo )";"Kaksiot";66;14.88
"2016Q2";"02130 Pohjois-Tapiola   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02150 Otaniemi   (Espoo )";"Yksiöt";.;.
"2016Q2";"02150 Otaniemi   (Espoo )";"Kaksiot";.;.
"2016Q2";"02150 Otaniemi   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02170 Haukilahti   (Espoo )";"Yksiöt";39;22.39
"2016Q2";"02170 Haukilahti   (Espoo )";"Kaksiot";30;13.47
"2016Q2";"02170 Haukilahti   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02200 Niittykumpu   (Espoo )";"Yksiöt";66;21.83
"2016Q2";"02200 Niittykumpu   (Espoo )";"Kaksiot";.;.
"2016Q2";"02200 Niittykumpu   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02210 Olari   (Espoo )";"Yksiöt";79;19.55
"2016Q2";"02210 Olari   (Espoo )";"Kaksiot";104;14.71
"2016Q2";"02210 Olari   (Espoo )";"Kolmiot+";21;13.19
"2016Q2";"02230 Matinkylä   (Espoo )";"Yksiöt";221;20.84
"2016Q2";"02230 Matinkylä   (Espoo )";"Kaksiot";350;16.28
"2016Q2";"02230 Matinkylä   (Espoo )";"Kolmiot+";192;15.07
"2016Q2";"02260 Kaitaa   (Espoo )";"Yksiöt";38;19.47
"2016Q2";"02260 Kaitaa   (Espoo )";"Kaksiot";.;.
"2016Q2";"02260 Kaitaa   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02320 Espoonlahti   (Espoo )";"Yksiöt";139;18.73
"2016Q2";"02320 Espoonlahti   (Espoo )";"Kaksiot";226;14.74
"2016Q2";"02320 Espoonlahti   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Yksiöt";.;.
"2016Q2";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Kaksiot";27;18.61
"2016Q2";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02360 Soukka   (Espoo )";"Yksiöt";124;19.15
"2016Q2";"02360 Soukka   (Espoo )";"Kaksiot";.;.
"2016Q2";"02360 Soukka   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Yksiöt";60;17.56
"2016Q2";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Kaksiot";104;12.99
"2016Q2";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Kolmiot+";.;.
"2016Q2";"02410 Gesterby   (Kirkkonummi )";"Yksiöt";49;16.05
"2016Q2";"02410 Gesterby   (Kirkkonummi )";"Kaksiot";66;12.51
"2016Q2";"02410 Gesterby   (Kirkkonummi )";"Kolmiot+";.;.
"2016Q2";"02430 Masala   (Kirkkonummi )";"Yksiöt";.;.
"2016Q2";"02430 Masala   (Kirkkonummi )";"Kaksiot";.;.
"2016Q2";"02430 Masala   (Kirkkonummi )";"Kolmiot+";.;.
"2016Q2";"02600 Etelä-Leppävaara   (Espoo )";"Yksiöt";99;21.26
"2016Q2";"02600 Etelä-Leppävaara   (Espoo )";"Kaksiot";171;17.99
"2016Q2";"02600 Etelä-Leppävaara   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02610 Kilo   (Espoo )";"Yksiöt";.;.
"2016Q2";"02610 Kilo   (Espoo )";"Kaksiot";.;.
"2016Q2";"02610 Kilo   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02620 Karakallio   (Espoo )";"Yksiöt";28;22.14
"2016Q2";"02620 Karakallio   (Espoo )";"Kaksiot";75;15.88
"2016Q2";"02620 Karakallio   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02650 Pohjois-Leppävaara   (Espoo )";"Yksiöt";157;24.15
"2016Q2";"02650 Pohjois-Leppävaara   (Espoo )";"Kaksiot";143;16.85
"2016Q2";"02650 Pohjois-Leppävaara   (Espoo )";"Kolmiot+";45;15.11
"2016Q2";"02660 Lintuvaara   (Espoo )";"Yksiöt";.;.
"2016Q2";"02660 Lintuvaara   (Espoo )";"Kaksiot";.;.
"2016Q2";"02660 Lintuvaara   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02700 Kauniainen   (Kauniainen )";"Yksiöt";59;21.07
"2016Q2";"02700 Kauniainen   (Kauniainen )";"Kaksiot";66;15.89
"2016Q2";"02700 Kauniainen   (Kauniainen )";"Kolmiot+";.;.
"2016Q2";"02710 Viherlaakso   (Espoo )";"Yksiöt";42;18.87
"2016Q2";"02710 Viherlaakso   (Espoo )";"Kaksiot";90;16.76
"2016Q2";"02710 Viherlaakso   (Espoo )";"Kolmiot+";36;15.62
"2016Q2";"02720 Lähderanta   (Espoo )";"Yksiöt";64;21.30
"2016Q2";"02720 Lähderanta   (Espoo )";"Kaksiot";.;.
"2016Q2";"02720 Lähderanta   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02750 Sepänkylä-Kuurinniitty   (Espoo )";"Yksiöt";.;.
"2016Q2";"02750 Sepänkylä-Kuurinniitty   (Espoo )";"Kaksiot";.;.
"2016Q2";"02750 Sepänkylä-Kuurinniitty   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02760 Tuomarila-Suvela   (Espoo )";"Yksiöt";147;18.16
"2016Q2";"02760 Tuomarila-Suvela   (Espoo )";"Kaksiot";313;14.24
"2016Q2";"02760 Tuomarila-Suvela   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02770 Espoon Keskus   (Espoo )";"Yksiöt";56;20.22
"2016Q2";"02770 Espoon Keskus   (Espoo )";"Kaksiot";.;.
"2016Q2";"02770 Espoon Keskus   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02780 Kauklahti   (Espoo )";"Yksiöt";.;.
"2016Q2";"02780 Kauklahti   (Espoo )";"Kaksiot";.;.
"2016Q2";"02780 Kauklahti   (Espoo )";"Kolmiot+";.;.
"2016Q2";"02940 Lippajärvi-Järvenperä   (Espoo )";"Yksiöt";.;.
"2016Q2";"02940 Lippajärvi-Järvenperä   (Espoo )";"Kaksiot";.;.
"2016Q2";"02940 Lippajärvi-Järvenperä   (Espoo )";"Kolmiot+";.;.
"2016Q2";"03100 Nummela   (Vihti )";"Yksiöt";92;15.90
"2016Q2";"03100 Nummela   (Vihti )";"Kaksiot";107;12.74
"2016Q2";"03100 Nummela   (Vihti )";"Kolmiot+";43;11.86
"2016Q2";"03400 Vihti Kirkonkylä   (Vihti )";"Yksiöt";.;.
"2016Q2";"03400 Vihti Kirkonkylä   (Vihti )";"Kaksiot";23;12.97
"2016Q2";"03400 Vihti Kirkonkylä   (Vihti )";"Kolmiot+";.;.
"2016Q2";"03600 Karkkila Keskus   (Karkkila )";"Yksiöt";42;13.35
"2016Q2";"03600 Karkkila Keskus   (Karkkila )";"Kaksiot";43;10.84
"2016Q2";"03600 Karkkila Keskus   (Karkkila )";"Kolmiot+";.;.
"2016Q2";"04130 Sipoo   (Sipoo )";"Yksiöt";.;.
"2016Q2";"04130 Sipoo   (Sipoo )";"Kaksiot";20;12.32
"2016Q2";"04130 Sipoo   (Sipoo )";"Kolmiot+";.;.
"2016Q2";"04200 Kerava Keskus   (Kerava )";"Yksiöt";162;17.81
"2016Q2";"04200 Kerava Keskus   (Kerava )";"Kaksiot";201;13.72
"2016Q2";"04200 Kerava Keskus   (Kerava )";"Kolmiot+";.;.
"2016Q2";"04220 Ahjo-Kaskela   (Kerava )";"Yksiöt";.;.
"2016Q2";"04220 Ahjo-Kaskela   (Kerava )";"Kaksiot";.;.
"2016Q2";"04220 Ahjo-Kaskela   (Kerava )";"Kolmiot+";.;.
"2016Q2";"04230 Pihkaniitty   (Kerava )";"Yksiöt";35;18.27
"2016Q2";"04230 Pihkaniitty   (Kerava )";"Kaksiot";50;13.19
"2016Q2";"04230 Pihkaniitty   (Kerava )";"Kolmiot+";.;.
"2016Q2";"04250 Alikerava   (Kerava )";"Yksiöt";22;15.84
"2016Q2";"04250 Alikerava   (Kerava )";"Kaksiot";.;.
"2016Q2";"04250 Alikerava   (Kerava )";"Kolmiot+";.;.
"2016Q2";"04260 Savio   (Kerava )";"Yksiöt";73;17.56
"2016Q2";"04260 Savio   (Kerava )";"Kaksiot";.;.
"2016Q2";"04260 Savio   (Kerava )";"Kolmiot+";.;.
"2016Q2";"04300 Hyrylä   (Tuusula )";"Yksiöt";44;18.25
"2016Q2";"04300 Hyrylä   (Tuusula )";"Kaksiot";.;.
"2016Q2";"04300 Hyrylä   (Tuusula )";"Kolmiot+";.;.
"2016Q2";"04320 Riihikallio   (Tuusula )";"Yksiöt";.;.
"2016Q2";"04320 Riihikallio   (Tuusula )";"Kaksiot";.;.
"2016Q2";"04320 Riihikallio   (Tuusula )";"Kolmiot+";31;12.50
